RADNIK;SATI;RADNAL;DatumRacuna;pcentar
33;4,10;70370;3.1.2008;
33;1,80;70464;3.1.2008;
54;0,90;70458;3.1.2008;
58;2,30;70459;3.1.2008;
58;1,80;70479;3.1.2008;
90;2,30;70477;3.1.2008;
102;2,70;70460;3.1.2008;
111;1,20;70463;3.1.2008;
122;1,80;70461;3.1.2008;
122;2,40;70481;3.1.2008;
143;0,50;69845;3.1.2008;
143;1,00;70475;3.1.2008;
155;2,30;70457;3.1.2008;
155;0,50;70460;3.1.2008;
155;2,00;70478;3.1.2008;
155;0,20;70489;3.1.2008;
161;1,80;70474;3.1.2008;
167;2,70;70423;3.1.2008;
167;1,80;70462;3.1.2008;
